periode,kab_kota,pendidikan,tpt_persen
2024-08,Maluku Barat Daya,Sekolah Menengah Kejuruan,3.801653
2024-08,Maluku Barat Daya,Diploma I/II/III,0.0
2024-08,Maluku Barat Daya,"Diploma IV, S1, S2, S3",1.695576
2024-08,Buru Selatan,Sekolah Dasar,0.496091
2024-08,Buru Selatan,Sekolah Menengah Pertama,2.374955
2024-08,Buru Selatan,Sekolah Menengah Atas,1.209992
2024-08,Buru Selatan,Sekolah Menengah Kejuruan,0.0
2024-08,Buru Selatan,Diploma I/II/III,0.0
2024-08,Buru Selatan,"Diploma IV, S1, S2, S3",0.837004
2024-08,Kota Ambon,Sekolah Dasar,9.506874
2024-08,Kota Ambon,Sekolah Menengah Pertama,11.606872
2024-08,Kota Ambon,Sekolah Menengah Atas,12.638794
2024-08,Kota Ambon,Sekolah Menengah Kejuruan,9.422555
2024-08,Kota Ambon,Diploma I/II/III,12.414006
2024-08,Kota Ambon,"Diploma IV, S1, S2, S3",11.539323
2024-08,Kota Tual,Sekolah Dasar,4.854122
2024-08,Kota Tual,Sekolah Menengah Pertama,6.092475
2024-08,Kota Tual,Sekolah Menengah Atas,14.325149
2024-08,Kota Tual,Sekolah Menengah Kejuruan,10.88647
2024-08,Kota Tual,Diploma I/II/III,12.79007
2024-08,Kota Tual,"Diploma IV, S1, S2, S3",5.912334
2024-08,Maluku,Sekolah Dasar,2.343755
2024-08,Maluku,Sekolah Menengah Pertama,4.353761
2024-08,Maluku,Sekolah Menengah Atas,8.935028
2024-08,Maluku,Sekolah Menengah Kejuruan,7.458816
2024-08,Maluku,Diploma I/II/III,5.456207
2024-08,Maluku,"Diploma IV, S1, S2, S3",7.094214
2025-08,Kepulauan Tanimbar,Sekolah Dasar,1.501727
2025-08,Kepulauan Tanimbar,Sekolah Menengah Pertama,1.55521
2025-08,Kepulauan Tanimbar,Sekolah Menengah Atas,5.874473
2025-08,Kepulauan Tanimbar,Sekolah Menengah Kejuruan,11.895107
2025-08,Kepulauan Tanimbar,Diploma I/II/III,0.0
2025-08,Kepulauan Tanimbar,"Diploma IV, S1, S2, S3",5.494818
2025-08,Maluku Tenggara,Sekolah Dasar,5.752169
2025-08,Maluku Tenggara,Sekolah Menengah Pertama,6.341053
2025-08,Maluku Tenggara,Sekolah Menengah Atas,6.371339
2025-08,Maluku Tenggara,Sekolah Menengah Kejuruan,1.033879
2025-08,Maluku Tenggara,Diploma I/II/III,4.854881
2025-08,Maluku Tenggara,"Diploma IV, S1, S2, S3",6.749123
2025-08,Maluku Tengah,Sekolah Dasar,2.999059
2025-08,Maluku Tengah,Sekolah Menengah Pertama,5.998147
2025-08,Maluku Tengah,Sekolah Menengah Atas,8.148524
2025-08,Maluku Tengah,Sekolah Menengah Kejuruan,11.850606
2025-08,Maluku Tengah,Diploma I/II/III,5.936312
2025-08,Maluku Tengah,"Diploma IV, S1, S2, S3",6.913549
2025-08,Buru,Sekolah Dasar,3.249468
2025-08,Buru,Sekolah Menengah Pertama,1.959799
2025-08,Buru,Sekolah Menengah Atas,7.171208
2025-08,Buru,Sekolah Menengah Kejuruan,3.653895
2025-08,Buru,Diploma I/II/III,0.0
2025-08,Buru,"Diploma IV, S1, S2, S3",2.64436
2025-08,Kepulauan Aru,Sekolah Dasar,0.985663
2025-08,Kepulauan Aru,Sekolah Menengah Pertama,2.395866
2025-08,Kepulauan Aru,Sekolah Menengah Atas,3.68932
2025-08,Kepulauan Aru,Sekolah Menengah Kejuruan,2.574526
2025-08,Kepulauan Aru,Diploma I/II/III,6.124853
2025-08,Kepulauan Aru,"Diploma IV, S1, S2, S3",0.0
2025-08,Seram Bagian Barat,Sekolah Dasar,0.716597
2025-08,Seram Bagian Barat,Sekolah Menengah Pertama,2.25995
2025-08,Seram Bagian Barat,Sekolah Menengah Atas,8.728797
2025-08,Seram Bagian Barat,Sekolah Menengah Kejuruan,3.962088
2025-08,Seram Bagian Barat,Diploma I/II/III,12.590064
2025-08,Seram Bagian Barat,"Diploma IV, S1, S2, S3",4.466926
2025-08,Seram Bagian Timur,Sekolah Dasar,0.350677
2025-08,Seram Bagian Timur,Sekolah Menengah Pertama,2.208268
2025-08,Seram Bagian Timur,Sekolah Menengah Atas,2.908478
2025-08,Seram Bagian Timur,Sekolah Menengah Kejuruan,8.695652
2025-08,Seram Bagian Timur,Diploma I/II/III,0.0
2025-08,Seram Bagian Timur,"Diploma IV, S1, S2, S3",7.238383
2025-08,Maluku Barat Daya,Sekolah Dasar,0.911408
2025-08,Maluku Barat Daya,Sekolah Menengah Pertama,0.520371
2025-08,Maluku Barat Daya,Sekolah Menengah Atas,4.390516
2025-08,Maluku Barat Daya,Sekolah Menengah Kejuruan,3.927203
2025-08,Maluku Barat Daya,Diploma I/II/III,4.598282
